id,source,srcLvel,relationship,target,tarLvel,diff,platform
8,Facebook Messenger,2,with,Friends,3,1,Facebook Messenger
8,Print,2,what,Holidays,4,2,Print
8,Print,2,what,"Work, projects",4,2,Print
8,Print,2,with,Holidays,4,1,Print
8,Print,2,with,"Work, projects",4,1,Print
8,Friends,3,what,Social photos,4,1,SMS Text
8,Family,3,what,Animals/pets,4,1,SMS Text
8,Friends,3,what,Screenshots,4,1,SMS Text
8,Family,3,what,Old photos,4,1,SMS Text
8,Friends,3,what,Social photos,4,1,Instagram
8,Family,3,what,Social photos,4,1,Instagram
8,Family,3,what,Old photos,4,1,Instagram
8,Public,3,what,"Work, projects",4,1,Instagram
8,Friends,3,what,Screenshots,4,1,Facebook Messenger
8,Friends,3,what,Animals/pets,4,1,Facebook Messenger
8,Friends,3,what,Social photos,4,1,Facebook Messenger
8,Friends,3,what,Old photos,4,1,Facebook Messenger
9,Me,1,through,WhatsApp,2,1,WhatsApp
9,Me,1,through,SMS Text,2,1,SMS Text
9,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
9,Me,1,through,HelloTalk,2,1,HelloTalk
9,Me,1,through,Hardrive storage,2,1,Hardrive storage
9,Me,1,through,Instagram,2,1,Instagram
9,Me,1,through,Camera Roll,2,1,Camera Roll
9,Instagram,2,through,Instagram Stories,2,0,Instagram
9,WhatsApp,2,with,Colleagues,3,1,WhatsApp
9,WhatsApp,2,with,Friends without social media,3,1,WhatsApp
9,SMS Text,2,with,Family,3,1,SMS Text
9,SMS Text,2,with,Mum,3,1,SMS Text
9,SMS Text,2,with,Friends,3,1,SMS Text
9,Facebook Messenger,2,with,Friends,3,1,Facebook Messenger
9,Facebook Messenger,2,with,Family,3,1,Facebook Messenger
9,HelloTalk,2,with,Learning community,3,1,HelloTalk
9,Hardrive storage,2,with,Friends,3,1,Hardrive storage
9,Instagram,2,with,Group chat,3,1,Instagram
9,Instagram Stories,2,with,Friends,3,1,Instagram
9,Instagram Stories,2,with,Public,3,1,Instagram
9,Camera Roll,2,what,Screenshots,4,2,Camera Roll
9,Camera Roll,2,what,Memes,4,2,Camera Roll
9,Camera Roll,2,what,Holidays,4,2,Camera Roll
9,Camera Roll,2,what,Note-taking,4,2,Camera Roll
9,Camera Roll,2,what,"Work, projects",4,2,Camera Roll
9,Camera Roll,2,what,Individual interests,4,2,Camera Roll
9,Camera Roll,2,what,Meals,4,2,Camera Roll
9,Camera Roll,2,with,Screenshots,4,1,Camera Roll
9,Camera Roll,2,with,Memes,4,1,Camera Roll
9,Camera Roll,2,with,Holidays,4,1,Camera Roll
9,Camera Roll,2,with,Note-taking,4,1,Camera Roll
9,Camera Roll,2,with,"Work, projects",4,1,Camera Roll
9,Camera Roll,2,with,Individual interests,4,1,Camera Roll
9,Camera Roll,2,with,Meals,4,1,Camera Roll
9,Colleagues,3,what,"Work, projects",4,1,WhatsApp
9,Family,3,what,Family photos,4,1,SMS Text
9,Family,3,what,"Work, projects",4,1,SMS Text
9,Mum,3,what,Everyday activities,4,1,SMS Text
9,Friends,3,what,Memes,4,1,SMS Text
9,Friends,3,what,Shared Interests,4,1,SMS Text
9,Friends,3,what,Memes,4,1,Facebook Messenger
9,Friends,3,what,Everyday activities,4,1,Facebook Messenger
9,Family,3,what,Family photos,4,1,Facebook Messenger
9,Learning community,3,what,Scenery,4,1,HelloTalk
9,Friends,3,what,Old photos,4,1,Hardrive storage
9,Friends,3,what,Shared experience,4,1,Hardrive storage
9,Group chat,3,what,Memes,4,1,Instagram
9,Friends,3,what,Meals,4,1,Instagram
9,Friends,3,what,Social photos,4,1,Instagram
9,Friends,3,what,Everyday activities,4,1,Instagram
9,Public,3,what,Individual interests,4,1,Instagram
9,Public,3,what,"Work, projects",4,1,Instagram
10,Me,1,through,Print,2,1,Print
10,Me,1,through,Instagram,2,1,Instagram
10,Me,1,through,Camera Roll,2,1,Camera Roll
10,Me,1,through,SMS Text,2,1,SMS Text
10,Me,1,through,Slack,2,1,Slack
10,Me,1,through,Hinge,2,1,Hinge
10,Me,1,through,Airdrop,2,1,Airdrop
10,Me,1,through,DADAABC,2,1,DADAABC
10,Print,2,with,Family,3,1,Print
10,Instagram,2,with,Friends,3,1,Instagram
10,SMS Text,2,with,Family,3,1,SMS Text
10,SMS Text,2,with,Close friends,3,1,SMS Text
10,SMS Text,2,with,Colleagues,3,1,SMS Text
10,Slack,2,with,Colleagues,3,1,Slack
10,Airdrop,2,with,Colleagues,3,1,Airdrop
